Trip ID,Pickup Date,Vehicle,Payment Type,Passenger Count,Total Trip Distance,Total Booking Value,Pickup Location,Dropoff Location,Total Bookings
1,2024-06-01 00:00:00,Uber Black,Cash,1,1,$5.5,Penn Station/Madison Sq West,Midtown Center,1.0
1,2024-06-01 00:00:00,Uber Black,Cash,1,2,$8.5,Penn Station/Madison Sq West,Sutton Place/Turtle Bay North,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,1,4,$15.7,Penn Station/Madison Sq West,East Harlem South,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2,$11.0,Penn Station/Madison Sq West,Greenwich Village North,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2,$9.6,Penn Station/Madison Sq West,Greenwich Village South,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3,$16.9,Penn Station/Madison Sq West,Lenox Hill East,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2,$14.6,Penn Station/Madison Sq West,Lincoln Square East,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,1,3,$12.1,Penn Station/Madison Sq West,Lincoln Square West,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,3,1,$7.8,Penn Station/Madison Sq West,Midtown Center,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2,$11.0,Penn Station/Madison Sq West,Midtown North,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,3,3,$13.0,Penn Station/Madison Sq West,Midtown South,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,2,1,$8.0,Penn Station/Madison Sq West,Murray Hill,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,5,1,$6.5,Penn Station/Madison Sq West,Times Sq/Theatre District,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,2,3,$11.0,Penn Station/Madison Sq West,TriBeCa/Civic Center,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,2,3,$15.2,Penn Station/Madison Sq West,Upper East Side North,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,2,3,$15.3,Penn Station/Madison Sq West,Upper East Side South,1.0
1,2024-06-01 00:00:00,Uber Black,Uber Pay,1,5,$20.5,Penn Station/Madison Sq West,West Village,1.0
2,2024-06-01 00:00:00,Uber Black,Uber Pay,3,9,$43.3,Penn Station/Madison Sq West,Yorkville East,2.0
1,2024-06-01 00:00:00,Uber Comfort,Cash,3,5,$16.0,Penn Station/Madison Sq West,East Harlem South,1.0
